Customer_Job,Current,_30_Jan,_31_60,_61_90,_90,Total,Aging_Month,Parent_Column,True_Parent_Field
 - No Customer/Project -,0.0,0.0,0.0,0.0,25069.8,25069.8,2021-10-31,,YR
 - No Customer/Project -,0.0,0.0,0.0,0.0,25069.8,25069.8,2021-11-30,,YR
 - No Customer/Project -,0.0,0.0,0.0,0.0,25069.8,25069.8,2021-12-31,,YR
 - No Customer/Project -,0.0,0.0,0.0,-402.76,27638.4,27235.64,2021-02-28,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,0.0,27235.64,27235.64,2021-04-30,,YNHH
 - No Customer/Project -,20.0,0.0,0.0,0.0,27235.64,27255.64,2021-05-31,,YNHH
 - No Customer/Project -,0.0,220.2,0.0,0.0,27235.64,27455.84,2021-06-30,,YNHH
 - No Customer/Project -,0.0,-2386.04,200.2,20.0,27235.64,25069.8,2021-07-31,,YNHH
 - No Customer/Project -,0.0,0.0,-2386.04,200.2,27255.64,25069.8,2021-08-31,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,-2386.04,27455.84,25069.8,2021-09-30,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,0.0,27638.4,27638.4,2020-11-30,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,582.85,27055.55,27638.4,2020-09-30,,YNHH
 - No Customer/Project -,0.0,0.0,582.85,-582.85,27638.4,27638.4,2020-08-31,,YNHH
 - No Customer/Project -,0.0,582.85,-582.85,0.0,27638.4,27638.4,2020-07-31,,YNHH
 - No Customer/Project -,0.0,-582.85,0.0,0.0,27638.4,27055.55,2020-06-30,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,13358.71,14279.69,27638.4,2020-05-31,,YNHH
 - No Customer/Project -,0.0,0.0,13358.71,-4474.73,18754.42,27638.4,2020-04-30,,YNHH
 - No Customer/Project -,0.0,13358.71,-4474.73,0.0,18754.42,27638.4,2020-03-31,,YNHH
 - No Customer/Project -,0.0,-4474.73,0.0,0.0,18754.42,14279.69,2020-02-29,,YNHH
 - No Customer/Project -,0.0,0.0,0.0,0.0,18754.42,18754.42,2020-01-31,,YNHH
 - No Customer/Project -,0.0,0.0,-402.76,0.0,27638.4,27235.64,2021-01-31,, - No Customer/Project -
 - No Customer/Project -,0.0,0.0,0.0,0.0,27235.64,27235.64,2021-03-31,, - No Customer/Project -
 - No Customer/Project -,0.0,-402.76,0.0,0.0,27638.4,27235.64,2020-12-31,, - No Customer/Project -
 - No Customer/Project -,0.0,0.0,0.0,0.0,27638.4,27638.4,2020-10-31,, - No Customer/Project -
 - No Customer/Project -,11102.62,0.0,0.0,0.0,25069.8,36172.42,2022-01-31,, - No Customer/Project -
